model,dataset,n_samples,corpus_wer,corpus_cer,rtfx,total_audio_h,yo_to_ye,wer_pct,cer_pct,rtfx_str
Whisper-Tiny,librispeech,2620,0.0813,0.0337,348.78,5.403,False,8.13%,3.37%,348.8x
Whisper-Tiny,fleurs,775,0.3886,0.1192,317.25,2.498,False,38.86%,11.92%,317.2x
Whisper-Turbo,librispeech,2620,0.0308,0.0122,195.77,5.403,False,3.08%,1.22%,195.8x
Whisper-Turbo,fleurs,775,0.0611,0.0201,236.24,2.498,False,6.11%,2.01%,236.2x
Whisper-Large-v3,librispeech,2620,0.0282,0.0101,57.44,5.403,False,2.82%,1.01%,57.4x
Whisper-Large-v3,fleurs,775,0.0494,0.0134,62.26,2.498,False,4.94%,1.34%,62.3x
Parakeet-TDT-0.6B-v3,librispeech,2620,0.021,0.0061,343.56,5.403,False,2.10%,0.61%,343.6x
Parakeet-TDT-0.6B-v3,fleurs,775,0.0672,0.0173,459.07,2.498,False,6.72%,1.73%,459.1x
