id,snr_target_db,duration_sec,noisy_pesq,noisy_stoi,noisy_si_snr,enh_pesq,enh_stoi,enh_si_snr,delta_pesq,delta_stoi,delta_si_snr
fileid_1,19.25,6.582,1.48,0.8735,5.894,1.773,0.8716,7.2048,0.2929999999999999,-0.0019000000000000128,1.3107999999999995
fileid_2,13.18,4.608,1.2758,0.9833,10.4098,2.6007,0.9863,12.4069,1.3248999999999997,0.0030000000000000027,1.9970999999999997
fileid_3,7.36,7.2,1.2227,0.8947,-0.3375,1.7315,0.8622,2.7001,0.5088000000000001,-0.032500000000000084,3.0376
fileid_4,7.93,4.8,1.2719,0.885,6.2493,2.334,0.9548,13.7347,1.0621,0.06979999999999997,7.4854
fileid_5,14.44,5.232,1.1637,0.8112,5.9944,1.2618,0.7346,1.651,0.09810000000000008,-0.0766,-4.3434
