id,snr_target_db,duration_sec,noisy_pesq,noisy_stoi,noisy_si_snr,enh_pesq,enh_stoi,enh_si_snr,delta_pesq,delta_stoi,delta_si_snr
fileid_536,18.54,6.144,1.1381,0.7842,4.2292,1.1381,0.7842,4.2292,0.0,0.0,0.0
fileid_537,0.2,6.264,1.0638,0.5759,-6.1952,1.0638,0.5759,-6.1952,0.0,0.0,0.0
fileid_538,18.45,7.2,1.6177,0.973,16.8876,1.6177,0.973,16.8876,0.0,0.0,0.0
fileid_539,-1.62,6.48,1.4265,0.962,-3.1261,1.4265,0.962,-3.1261,0.0,0.0,0.0
fileid_540,18.54,6.696,1.655,0.919,16.3058,1.655,0.919,16.3058,0.0,0.0,0.0
fileid_541,14.1,9.9,1.1716,0.8669,7.9769,1.1716,0.8669,7.9769,0.0,0.0,0.0
fileid_542,1.41,4.32,1.2149,0.8966,-1.1732,1.2149,0.8966,-1.1732,0.0,0.0,0.0
fileid_543,11.91,6.48,1.5593,0.9835,9.1824,1.5593,0.9835,9.1824,0.0,0.0,0.0
fileid_544,-1.01,7.164,1.7733,0.8209,-4.0986,1.7733,0.8209,-4.0986,0.0,0.0,0.0
fileid_545,6.13,5.76,1.7277,0.927,4.7053,1.7277,0.927,4.7053,0.0,0.0,0.0
fileid_546,15.37,5.436,1.5877,0.9661,12.6401,1.5877,0.9661,12.6401,0.0,0.0,0.0
fileid_547,10.86,7.176,1.0891,0.8053,-3.201,1.0891,0.8053,-3.201,0.0,0.0,0.0
fileid_548,12.09,6.072,1.4359,0.9511,7.6315,1.4359,0.9511,7.6315,0.0,0.0,0.0
fileid_549,-4.53,6.516,1.03,0.698,-6.0479,1.03,0.698,-6.0479,0.0,0.0,0.0
fileid_550,2.67,6.66,1.2835,0.859,-5.91,1.2835,0.859,-5.91,0.0,0.0,0.0
fileid_551,9.55,8.0,1.091,0.7773,3.1915,1.091,0.7773,3.1915,0.0,0.0,0.0
fileid_552,2.18,6.24,1.0671,0.8108,0.6216,1.0671,0.8108,0.6216,0.0,0.0,0.0
fileid_553,-1.01,7.236,1.3219,0.9554,-2.9158,1.3219,0.9554,-2.9158,0.0,0.0,0.0
fileid_554,-3.48,6.408,1.0445,0.8275,-5.1838,1.0445,0.8275,-5.1838,0.0,0.0,0.0
fileid_555,17.64,4.584,1.2778,0.9238,4.794,1.2778,0.9238,4.794,0.0,0.0,0.0
fileid_556,15.97,6.048,1.1862,0.8716,4.3808,1.1862,0.8716,4.3808,0.0,0.0,0.0
fileid_557,17.42,7.608,1.1759,0.8769,7.3789,1.1759,0.8769,7.3789,0.0,0.0,0.0
fileid_558,5.34,7.344,1.0554,0.7225,-0.0632,1.0554,0.7225,-0.0632,0.0,0.0,0.0
fileid_559,2.06,7.536,1.069,0.6967,-3.5977,1.069,0.6967,-3.5977,0.0,0.0,0.0
fileid_560,18.02,7.536,1.1855,0.7782,2.6017,1.1855,0.7782,2.6017,0.0,0.0,0.0
fileid_561,-1.32,9.036,1.0686,0.8286,-4.6964,1.0686,0.8286,-4.6964,0.0,0.0,0.0
fileid_562,0.85,6.156,1.0736,0.8604,-0.6125,1.0736,0.8604,-0.6125,0.0,0.0,0.0
fileid_563,10.39,6.84,1.4345,0.9667,6.7037,1.4345,0.9667,6.7037,0.0,0.0,0.0
fileid_564,-2.83,5.664,1.0476,0.5631,-5.2095,1.0476,0.5631,-5.2095,0.0,0.0,0.0
fileid_565,-2.54,4.356,1.0342,0.6699,-4.5739,1.0342,0.6699,-4.5739,0.0,0.0,0.0
fileid_566,14.47,7.02,1.5916,0.983,12.8868,1.5916,0.983,12.8868,0.0,0.0,0.0
fileid_567,6.77,7.416,1.07,0.8232,3.9151,1.07,0.8232,3.9151,0.0,0.0,0.0
fileid_568,-1.85,4.488,1.021,0.6364,-6.0171,1.021,0.6364,-6.0171,0.0,0.0,0.0
fileid_569,3.15,7.032,1.1336,0.8743,1.0872,1.1336,0.8743,1.0872,0.0,0.0,0.0
fileid_570,1.46,4.512,1.084,0.6614,-0.5611,1.084,0.6614,-0.5611,0.0,0.0,0.0
fileid_571,5.34,6.516,1.1765,0.8452,3.352,1.1765,0.8452,3.352,0.0,0.0,0.0
fileid_572,12.63,7.776,1.2652,0.9011,9.6297,1.2652,0.9011,9.6297,0.0,0.0,0.0
fileid_573,11.41,6.504,1.3509,0.8924,9.2451,1.3509,0.8924,9.2451,0.0,0.0,0.0
fileid_574,-1.11,4.92,1.0814,0.6545,-7.0874,1.0814,0.6545,-7.0874,0.0,0.0,0.0
fileid_575,0.16,7.224,1.143,0.6657,-1.6532,1.143,0.6657,-1.6532,0.0,0.0,0.0
fileid_576,0.63,7.296,1.0768,0.687,-2.1083,1.0768,0.687,-2.1083,0.0,0.0,0.0
fileid_577,1.78,7.38,1.161,0.9449,0.1465,1.161,0.9449,0.1465,0.0,0.0,0.0
fileid_578,1.83,7.296,1.1712,0.9008,-4.7185,1.1712,0.9008,-4.7185,0.0,0.0,0.0
fileid_579,14.48,7.308,1.5158,0.9959,12.8845,1.5158,0.9959,12.8845,0.0,0.0,0.0
fileid_580,17.44,6.588,1.9533,0.9961,11.5484,1.9533,0.9961,11.5484,0.0,0.0,0.0
fileid_581,12.97,8.959,1.7708,0.859,4.6241,1.7708,0.859,4.6241,0.0,0.0,0.0
fileid_582,11.0,7.956,1.2519,0.854,2.4779,1.2519,0.854,2.4779,0.0,0.0,0.0
fileid_583,0.46,6.948,1.0455,0.8183,-4.2298,1.0455,0.8183,-4.2298,0.0,0.0,0.0
fileid_584,17.84,6.864,1.2951,0.9704,12.0269,1.2951,0.9704,12.0269,0.0,0.0,0.0
fileid_585,-1.46,5.064,1.0777,0.8235,-3.2198,1.0777,0.8235,-3.2198,0.0,0.0,0.0
fileid_586,-0.2,4.32,1.096,0.7112,-3.1634,1.096,0.7112,-3.1634,0.0,0.0,0.0
fileid_587,4.65,4.704,1.3305,0.9154,-0.1608,1.3305,0.9154,-0.1608,0.0,0.0,0.0
fileid_588,8.73,5.664,1.6409,0.9906,6.9642,1.6409,0.9906,6.9642,0.0,0.0,0.0
fileid_589,18.11,10.16,2.1848,0.99,17.1477,2.1848,0.99,17.1477,0.0,0.0,0.0
fileid_590,15.96,2.88,1.6173,0.9583,10.2785,1.6173,0.9583,10.2785,0.0,0.0,0.0
fileid_591,-3.12,2.57,1.1523,0.8987,-4.4338,1.1523,0.8987,-4.4338,0.0,0.0,0.0
fileid_592,18.51,3.39,1.5704,0.928,6.0218,1.5704,0.928,6.0218,0.0,0.0,0.0
fileid_593,19.94,2.94,3.0108,0.9904,19.4954,3.0108,0.9904,19.4954,0.0,0.0,0.0
fileid_594,14.48,3.45,1.2248,0.8407,2.4122,1.2248,0.8407,2.4122,0.0,0.0,0.0
fileid_595,18.37,5.05,2.7861,0.9907,17.7922,2.7861,0.9907,17.7922,0.0,0.0,0.0
fileid_596,11.17,5.36,1.6557,0.9781,5.8515,1.6557,0.9781,5.8515,0.0,0.0,0.0
fileid_597,-0.73,4.02,1.1107,0.7214,-2.1617,1.1107,0.7214,-2.1617,0.0,0.0,0.0
fileid_598,1.32,3.03,1.1157,0.8061,-3.294,1.1157,0.8061,-3.294,0.0,0.0,0.0
fileid_599,1.33,4.31,1.1476,0.828,-1.1722,1.1476,0.828,-1.1722,0.0,0.0,0.0
fileid_600,16.04,7.27,1.5208,0.9214,5.5047,1.5208,0.9214,5.5047,0.0,0.0,0.0
fileid_601,-1.69,4.87,1.0462,0.6987,-4.1033,1.0462,0.6987,-4.1033,0.0,0.0,0.0
fileid_602,8.78,4.55,1.2447,0.8863,4.4567,1.2447,0.8863,4.4567,0.0,0.0,0.0
fileid_603,2.18,10.31,1.2685,0.8371,1.0203,1.2685,0.8371,1.0203,0.0,0.0,0.0
fileid_604,5.56,4.19,1.6537,0.9608,5.2137,1.6537,0.9608,5.2137,0.0,0.0,0.0
fileid_605,8.22,7.42,1.6775,0.9649,7.7311,1.6775,0.9649,7.7311,0.0,0.0,0.0
fileid_606,8.02,3.8,1.2553,0.8644,5.3547,1.2553,0.8644,5.3547,0.0,0.0,0.0
fileid_607,14.0,6.35,1.5645,0.9659,7.5959,1.5645,0.9659,7.5959,0.0,0.0,0.0
fileid_608,-4.4,8.11,1.0455,0.6625,-6.1171,1.0455,0.6625,-6.1171,0.0,0.0,0.0
fileid_609,3.74,7.41,1.0805,0.786,-2.0293,1.0805,0.786,-2.0293,0.0,0.0,0.0
fileid_610,15.2,2.53,1.6984,0.8955,4.0955,1.6984,0.8955,4.0955,0.0,0.0,0.0
fileid_611,10.06,6.62,1.2483,0.8543,1.7828,1.2483,0.8543,1.7828,0.0,0.0,0.0
fileid_612,16.42,11.58,1.2093,0.7965,1.1543,1.2093,0.7965,1.1543,0.0,0.0,0.0
fileid_613,16.57,10.99,2.5959,0.9843,16.0774,2.5959,0.9843,16.0774,0.0,0.0,0.0
fileid_614,16.82,6.84,2.4732,0.9869,16.5446,2.4732,0.9869,16.5446,0.0,0.0,0.0
