id,snr_target_db,duration_sec,noisy_pesq,noisy_stoi,noisy_si_snr,enh_pesq,enh_stoi,enh_si_snr,delta_pesq,delta_stoi,delta_si_snr
3,10.97,10.0,1.5777,0.9496,10.9694,1.2207,0.8796,3.335,-0.3570000000000002,-0.06999999999999995,-7.6344
2,16.99,10.0,1.6032,0.9462,16.9858,1.1858,0.8823,4.3133,-0.4174,-0.06390000000000007,-12.672500000000001
150,1.07,10.0,1.1217,0.8527,1.0683,1.1474,0.8246,4.0902,0.025700000000000056,-0.028100000000000014,3.0219000000000005
213,15.0,10.0,2.2129,0.9438,15.0039,1.2388,0.8456,5.609,-0.9741,-0.09819999999999995,-9.3949
137,12.0,10.0,2.0007,0.9674,12.0009,1.1717,0.8922,4.4236,-0.8290000000000002,-0.07520000000000004,-7.577299999999999
231,6.01,10.0,1.2665,0.9031,6.0095,1.2209,0.8772,4.6086,-0.04559999999999986,-0.025900000000000034,-1.4009
175,4.01,10.0,1.0558,0.88,4.0139,1.0952,0.8407,5.9893,0.03939999999999988,-0.0393,1.9754000000000005
147,5.05,10.0,1.2578,0.8854,5.0478,1.0861,0.8087,2.4222,-0.17169999999999996,-0.07669999999999999,-2.6255999999999995
290,4.49,10.0,1.171,0.8207,4.4857,1.0743,0.8188,2.6019,-0.09670000000000001,-0.0019000000000000128,-1.8837999999999995
201,11.99,10.0,1.5366,0.9292,11.9852,1.1898,0.8946,5.6237,-0.3468,-0.034600000000000075,-6.3615
57,3.0,10.0,1.3565,0.873,2.9981,1.0579,0.789,0.3084,-0.2986,-0.08399999999999996,-2.6897
152,14.02,10.0,2.2842,0.984,14.0173,1.2676,0.9083,7.9909,-1.0165999999999997,-0.07569999999999999,-6.026400000000001
293,8.05,10.0,1.4217,0.9458,8.0518,1.2096,0.8944,5.2284,-0.21209999999999996,-0.0514,-2.8234000000000004
63,6.0,10.0,1.4172,0.939,6.0043,1.0565,0.8848,0.7496,-0.3607,-0.054199999999999915,-5.2547
