id,snr_target_db,duration_sec,noisy_pesq,noisy_stoi,noisy_si_snr,enh_pesq,enh_stoi,enh_si_snr,delta_pesq,delta_stoi,delta_si_snr
synthetic_no_reverb_150,1.07,10.0,1.1217,0.8527,1.0683,1.7577,0.9178,9.3681,0.6360000000000001,0.06509999999999994,8.2998
synthetic_no_reverb_213,15.0,10.0,2.2129,0.9438,15.0039,2.8143,0.9726,19.9392,0.6013999999999999,0.028800000000000048,4.9353
synthetic_no_reverb_137,12.0,10.0,2.0007,0.9674,12.0009,3.0712,0.9806,21.2929,1.0705,0.01319999999999999,9.292
synthetic_no_reverb_231,6.01,10.0,1.2665,0.9031,6.0095,2.8104,0.9662,13.9709,1.5439,0.06309999999999993,7.9614
synthetic_no_reverb_175,4.01,10.0,1.0558,0.88,4.0139,2.0004,0.9188,16.5802,0.9445999999999999,0.038799999999999946,12.566300000000002
synthetic_no_reverb_147,5.05,10.0,1.2578,0.8854,5.0478,1.7526,0.9141,12.1784,0.4947999999999999,0.02870000000000006,7.1306
synthetic_no_reverb_290,4.49,10.0,1.171,0.8207,4.4857,1.5137,0.8819,9.8134,0.3427,0.06120000000000003,5.3277
synthetic_no_reverb_201,11.99,10.0,1.5366,0.9292,11.9852,2.1506,0.9613,16.9496,0.6139999999999999,0.03210000000000002,4.9643999999999995
synthetic_no_reverb_57,3.0,10.0,1.3565,0.873,2.9981,1.9594,0.9098,12.8024,0.6029,0.036800000000000055,9.804300000000001
synthetic_no_reverb_152,14.02,10.0,2.2842,0.984,14.0173,3.2362,0.9894,19.4547,0.9520000000000004,0.00539999999999996,5.4373999999999985
synthetic_no_reverb_293,8.05,10.0,1.4217,0.9458,8.0518,2.6372,0.9789,14.6714,1.2155,0.03310000000000002,6.6196
synthetic_no_reverb_63,6.0,10.0,1.4172,0.939,6.0043,2.169,0.9553,14.1657,0.7518,0.016300000000000092,8.1614
synthetic_no_reverb_146,11.99,10.0,1.7126,0.9797,11.9949,3.2112,0.9889,18.0145,1.4986,0.009199999999999986,6.019600000000002
synthetic_no_reverb_296,9.99,10.0,1.181,0.8607,9.9866,2.3229,0.9406,15.5567,1.1419000000000001,0.07989999999999997,5.5701
synthetic_no_reverb_73,12.02,10.0,1.7783,0.9799,12.0247,3.2014,0.9876,17.3854,1.4231,0.00770000000000004,5.360700000000001
synthetic_no_reverb_49,2.03,10.0,1.2806,0.9109,2.0278,2.6906,0.9549,16.7604,1.41,0.04399999999999993,14.732600000000001
